PubChem CID,IC50 (nM),pIC50,Ligand SMILES
90367331,0.35,9.4559,CC(C)N[C@@H]1CC[C@@H]([C@H](C1)C#N)n1cc(C(N)=O)c(Nc2ccc(cc2)S(=O)(=O)C(F)(F)F)n1
89471118,0.36,9.4437,CC(C)([C@H](O)C(F)(F)F)c1ccc(Nc2nn(cc2C(N)=O)[C@H]2CCCC[C@@H]2C#N)cc1
136214446,0.37,9.4318,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(cc2)C2CCN(C)CC2)c2c1cc[nH]c2=O
76955757,0.38,9.4202,CN1CN([C@H]2CC[C@H](CN3CCCS3(=O)=O)CC2)c2c(cnc3[nH]ccc23)C1=O
146011822,0.39,9.4089,CC1CN(C1)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)[C@]2(CC#N)CCCOC2)cc1
68291807,0.4,9.3979,CNC(=O)c1ccc(cn1)-c1cc2c(N[C@@H]3C[C@@H]4CN(C[C@@H]4[C@H]3C)C(=O)C(C)(C)O)c(cnn2c1)C(N)=O
78323708,0.42,9.3768,CN1CN([C@H]2CC[C@H](CNS(=O)(=O)CC(F)(F)F)CC2)c2c(cnc3[nH]ccc23)C1=O
146011726,0.43,9.3665,CC(C)(C)OC(=O)N1CCC(CC#N)(CC1)n1nc(Nc2ccc(cc2)[C@@H](O)C(F)(F)F)c2c1cc[nH]c2=O
146011981,0.44,9.3565,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(Cc3ccc(C)cc3)CC2)cc1
90367200,0.45,9.3468,NC(=O)c1cn(nc1Nc1ccc2c(C=CS2(=O)=O)c1)C1CCCC[C@@H]1C#N
146011807,0.46,9.3372,NC(c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCCC2)cc1)C(F)(F)F
136214443,0.47,9.3279,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CC4CCC(C3)O4)c(C)c2)c2c1cc[nH]c2=O
146011948,0.48,9.3188,F[C@@H]1COCC[C@]1(CC#N)n1nc(Nc2ccc(cc2)[C@@]2(CCCCN2)C(F)(F)F)c2c1cc[nH]c2=O
146011896,0.49,9.3098,CC(N1CCCC1)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)[C@]2(CC#N)CCCOC2)cc1
91937374,0.5,9.301,C[C@H]1CN(C[C@H]1Nc1c(cnn2cc(cc12)-c1ccnc(F)c1)C(N)=O)C(=O)CC#N
146011949,0.51,9.2924,F[C@@H]1COCC[C@]1(CC#N)n1nc(Nc2ccc(cc2)[C@]2(CCCCN2)C(F)(F)F)c2c1cc[nH]c2=O
