PubChem CID,IC50 (nM),pIC50,Ligand SMILES
132204257,63,7.2007,CC(C)(C)c1cc(NC(=O)Nc2ccc(cc2)-n2nc(-c3ccc(OCCN4CCOCC4)cc3)c3c(N)ncnc23)no1
145713153,64.1,7.1931,O=C(N1CCC2(CC1)N(CN(Cc1nnc(s1)C1CC1)C2=O)c1ccccc1)c1ccc2[nH]ncc2c1
130364489,65.9,7.1811,CC1CN(Cc2cc(ccc12)C(=O)Nc1cc(CN2CCN(C)CC2)c(Cl)c(c1)C(F)(F)F)c1cncnc1
51035420,68,7.1675,Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1nc(CCOCc2ccncc2)cs1)C(C)(C)C
155295591,81.4,7.0894,FC(F)(F)CNC(=O)CN1C(=O)C2(CN(C2)C(=O)c2ccc3[nH]ncc3c2)c2c1cccc2Br
89879966,83,7.0809,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)c(CN2CCC[C@@H](C2)OCCO)c(c1)C(F)(F)F
89879833,87,7.0605,CCS(=O)(=O)n1cccc1CNC(=O)c1cc(Cl)c(CN2CCC[C@@H](C2)NC)c(c1)C(F)(F)F
118042903,90,7.0458,CCS(=O)(=O)c1ccc(Cl)cc1Nn1cnc2cc(CN3CCN(CC3)C3CCOCC3)c(cc2c1=O)C(F)(F)F
122550379,91,7.041,FC(F)(F)Oc1cc(Cl)c2ncn(Nc3cc(Cl)ccc3CC3CCCC3)c(=O)c2c1
89879963,98,7.0088,CCS(=O)(=O)c1ccc(OC(F)(F)F)cc1NNC(=O)c1ccc(CN2CCC[C@@H](C2)NC)c(c1)C(F)(F)F
145966810,100,7,CNc1ncc2c(nn(CC3CCCC3)c2n1)-c1ccc(nc1)N1CCN(C)CC1
130301986,102,6.9914,Cc1cccc2N(Cc3nc(no3)C3CC3)C(=O)C3(CCN(CC3)C(=O)c3ccc4[nH]ncc4c3)c12
124185640,103,6.9872,Cn1nc(cc1NC(=O)CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2cnc3[nH]ncc3c2)C1=O)C(F)(F)F
72836888,105,6.9788,CCN1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc2ccc(C)c(Oc3ccc4NC(=O)Cc4c3)c2)CC1
