PubChem CID,IC50 (nM),pIC50,Ligand SMILES
122452223,40.1,7.3969,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1C(=O)OCC(C)C
122452415,40.8,7.3893,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCOC3)c12
122452372,40.8,7.3893,CC(=O)NCCCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c12
122452227,41.3,7.384,Cc1ccccc1COC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)CO)c12
122452367,43.2,7.3645,CCCCC(C)(C)OC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
137078893,44.8,7.3487,CCc1nnc(-c2c(C)[nH]c3c(=O)n(C)cc(C#CC(C)(O)C4CC4)c23)o1
122452549,45.3,7.3439,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(N)c3)C(F)(F)F)c12
122452410,45.4,7.3429,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3cc(C)on3)c12
122452277,46.8,7.3298,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1C(=O)OCCC#N
137151695,47.1,7.327,Cc1[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c2c1-c1nnc(C2CC2)o1
122452308,47.7,7.3215,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#Cc3cccnc3)c12
122452366,47.7,7.3215,CCC(C)(C)OC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3cc(C)on3)c12
122452364,47.9,7.3197,CCC(C)(C)OC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c12
122452499,48.3,7.3161,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCc1cccnc1
122452221,48.3,7.3161,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OC(C)C
122452274,48.5,7.3143,CC(=O)NCCC(C)(C)OC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
137078896,49.9,7.3019,Cc1cc(C(C)(O)C#Cc2cn(C)c(=O)c3[nH]c(C)c(-c4nnc(C5CC5)o4)c23)no1
122452378,50.2,7.2993,Cc1cc(C(C)(O)C#Cc2cn(C)c(=O)c3[nH]c(C)c(C(=O)OCC(C)C)c23)no1
137078891,50.2,7.2993,Cc1[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c2c1-c1nnco1
137078890,50.7,7.295,Cc1nnc(-c2c(C)[nH]c3c(=O)n(C)cc(C#CC(C)(C)O)c23)o1
122452464,50.9,7.2933,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3cccc(C)c3)c12
122452389,51.1,7.2916,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3ccccc3)c2c1C(=O)OC(C)C
122452407,52.5,7.2798,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3cccnc3)c12
122452369,52.8,7.2774,Cc1cc(C(C)(O)C#Cc2cn(C)c(=O)c3[nH]c(C)c(C(=O)OC(C)C(C)C)c23)no1
122452388,52.8,7.2774,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCC1CC1
122452371,53.3,7.2733,CCC(C)C(C)OC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
137078894,53.5,7.2716,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1-c1nnco1
122452383,53.6,7.2708,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OC(C)C(C)C
122452379,54.4,7.2644,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3ccccc3)c2c1C(=O)OC(C)(C)C
122452312,56.2,7.2503,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#Cc3ccccc3F)c12
122452574,57.9,7.2373,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#Cc3ccsc3)c12
122452400,58.6,7.2321,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)CCc3ccccc3)c12
122452404,58.9,7.2299,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCN(C(=O)CC)CC3)c12
122452303,59.6,7.2248,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#Cc3ccccc3OC(F)(F)F)c12
122452218,59.7,7.224,C=CCCn1cc(C#CC(C)(C)O)c2c(C(=O)OCc3ccccc3C)c(C)[nH]c2c1=O
122452417,60,7.2218,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3cccc(F)c3)c12
122452305,61,7.2147,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)c3cc(C)no3)c12
122452399,61.1,7.214,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCC3)c12
137078883,61.6,7.2104,Cc1nnc(-c2c(C)[nH]c3c(=O)n(C)cc(C#CC(C)(O)C4CC4)c23)o1
122452215,62,7.2076,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C(C)C)c2c1C(=O)OCC(C)C
137078897,62.7,7.2027,Cc1nnc(-c2c(C)[nH]c3c(=O)n(C)cc(C#CC(O)(c4ccccc4)C(F)(F)F)c23)o1
137796689,63,7.2007,CN1CC(c2cccc(C(=O)NCc3ccccc3)c2)C2CCNC2C1=O
122452237,63.2,7.1993,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCCCC3)c12
122452233,63.7,7.1959,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cc(C)cc(O)c3)C(F)(F)F)c12
122452393,67.3,7.172,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)COc3ccccc3)c12
122452329,67.9,7.1681,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1C(=O)OCc1nccs1
122452224,68.4,7.1649,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)CO)c2c1C(=O)OCC(C)C
137078880,69.1,7.1605,Cc1cc(C(C)(O)C#Cc2cn(C)c(=O)c3[nH]c(C)c(-c4nnc(C(C)C)o4)c23)no1
122442932,69.2,7.1599,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(C#N)c3)C(F)(F)F)c12
122452385,71.2,7.1475,Cc1cc(C(C)(O)C#Cc2cn(C)c(=O)c3[nH]c(C)c(C(=O)OC(C)C)c23)no1
122452540,72.7,7.1385,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3(C)CC3)c12
137078879,73.5,7.1337,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(O)C3CC3)c2c1-c1nnc(CO)o1
122452534,74,7.1308,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#Cc3ccccc3)c12
122452498,74.7,7.1267,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(C3CC3)C(F)(F)F)c12
